102613,19450
102614,19451
102615,19452
102616,19453
102617,19454
102618,19455
102619,19456
102620,19457
102621,19458
102622,19459
102623,19460
102624,19461
102625,19462
102626,19463
102627,19464
102628,19465
102629,19466
102630,19467
102631,19468
102632,19469
102633,19470
102634,19471
102635,19472
102636,19473
102637,19474
102638,19475
102639,19476
102640,19477
102641,19478
102642,19479
102643,19480
102644,19481
102645,19482
102646,19483
102647,19484
102648,19485
102649,19486
102650,19487
102651,19488
102652,19489
102653,19490
102654,19491
102655,19492
102656,19493
102657,19494
102658,19495
102659,19496
102660,19497
102661,19498
102662,19499
102663,19500
102664,19501
102665,19502
102666,19503
102667,19504
102668,19505
102669,19506
102670,19507
102671,19508
102672,19509
102673,19510
102674,19511
102675,19512
102676,19513
102677,19514
102678,19515
102679,19516
102680,19517
102681,19518
102682,19519
102683,19520
102684,19521
102685,19522
102686,19523
102687,19524
102688,19525
102689,19526
102690,19527
102691,19528
102692,19529
102693,19530
102694,19531
102695,19532
102696,19533
102697,19534
102698,19535
102699,19536
102700,19537
102701,19538
102702,19539
102703,19540
102704,19541
102705,19542
102706,19543
102707,19544
102708,19545
102709,19546
102710,19547
102711,19548
102712,19549
102713,19550
102714,19551
102715,19552
102716,19553
102717,19554
102718,19555
102719,19556
102720,19557
102721,19558
102722,19559
102723,19560
102724,19561
102725,19562
102726,19563
102727,19564
102728,19565
102729,19566
102730,19567
102731,19568
102732,19569
102733,19570
102734,19571
102735,19572
102736,19573
102737,19574
102738,19575
102739,19576
102740,19577
102741,19578
102742,19579
102743,19580
102744,19581
102745,19582
102746,19583
102747,19584
102748,19585
102749,19586
102750,19587
102751,19588
102752,19589
102753,19590
102754,19591
102755,19592
102756,19593
102757,19594
102758,19595
102759,19596
102760,19597
102761,19598
102762,19599
102763,19600
102764,19601
102765,19602
102766,19603
102767,19604
102768,19605
102769,19606
102770,19607
102771,19608
102772,19609
102773,19610
102774,19611
102775,19612
102776,19613
102777,19614
102778,19615
102779,19616
102780,19617
102781,19618
